timestamp,arbitration_id,data_field,attack
1672531200.0,152,8954000000000080,0
1672531200.005966,156,0080000000000014,0
1672531200.006144,3D1,FF1F0000FD000000,0
1672531200.01998,152,8964000000000080,0
1672531200.025997,156,0080000000000014,0
1672531200.039999,152,8174000000000080,0
1672531200.040044,376,FA,0
1672531200.046031,156,0080000000000014,0
1672531200.046123,282,FE5300FEFE002403,0
1672531200.046427,6D0,0000000000000000,0
1672531200.060007,152,8184000000000080,0
1672531200.066033,156,0080000000000014,0
1672531200.069956,375,1000008100000100,0
1672531200.079973,152,8994000000000080,0
1672531200.086228,156,0080000000000014,0
1672531200.089859,376,FA,0
1672531200.096462,282,FE6300FEFE002403,0
1672531200.100243,152,89A4000000000080,0
1672531200.104826,6CF,000C000000000000,0
1672531200.105966,156,0080000000000014,0
1672531200.106283,3D1,FF1F0000FD000000,0
1672531200.119941,152,81B4000000000080,0
1672531200.125978,156,0080000000000014,0
1672531200.13997,152,89C4000000000080,0
1672531200.140014,376,FA,0
1672531200.145999,156,0080000000000014,0
1672531200.146241,282,FE7300FEFE002403,0
1672531200.1601999,152,81D4000000000080,0
1672531200.166294,156,0080000000000014,0
1672531200.180011,152,81E4000000000080,0
1672531200.186574,156,0080000000000014,0
1672531200.190084,376,FA,0
1672531200.196487,282,FE8300FEFE002403,0
1672531200.200159,152,89F4000000000080,0
1672531200.206007,156,0080000000000014,0
1672531200.206163,3D1,FF1F0000FD000000,0
1672531200.216261,6D1,CCFB080000000000,0
1672531200.22018,152,8904000000000080,0
1672531200.226052,156,0080000000000014,0
1672531200.239947,152,8114000000000080,0
1672531200.239992,376,FA,0
1672531200.240303,660,FFFF1DF500000B66,0
1672531200.246044,156,0080000000000014,0
1672531200.2461529,282,FE9300FEFE002403,0
1672531200.246487,6D0,0000000000000000,0
1672531200.260159,152,8124000000000080,0
1672531200.266275,156,0080000000000014,0
1672531200.2801409,152,8934000000000080,0
1672531200.286637,156,0080000000000014,0
1672531200.289836,376,FA,0
1672531200.296498,282,FEA300FEFE002403,0
1672531200.299884,152,8144000000000080,0
1672531200.306002,156,0080000000000014,0
1672531200.306198,3D1,FF1F0000FD000000,0
1672531200.3201709,152,8954000000000080,0
1672531200.326043,156,0080000000000014,0
1672531200.339923,152,8964000000000080,0
1672531200.339967,376,FA,0
1672531200.3463,156,0080000000000014,0
1672531200.346344,282,FEB300FEFE002403,0
1672531200.349718,378,B000000000000000,0
1672531200.360162,152,8174000000000080,0
1672531200.365978,156,0080000000000014,0
1672531200.380141,152,8184000000000080,0
1672531200.38655,156,0080000000000014,0
1672531200.389822,376,FA,0
1672531200.396254,282,FEC300FEFE002403,0
1672531200.399892,152,8994000000000080,0
1672531200.406112,156,0080000000000014,0
1672531200.40619,3D1,FF1F0000FD000000,0
1672531200.420152,152,89A4000000000080,0
1672531200.426043,156,0080000000000014,0
1672531200.43988,152,81B4000000000080,0
1672531200.439926,376,FA,0
1672531200.446086,156,0080000000000014,0
1672531200.44631,282,FED300FEFE002403,0
1672531200.446603,6D0,0000000000000000,0
1672531200.459924,152,89C4000000000080,0
1672531200.4660869,156,0080000000000014,0
1672531200.480166,152,81D4000000000080,0
1672531200.486408,156,0080000000000014,0
1672531200.48975,376,FA,0
